family_id,obs,source_file,lb_session,tone_offset_s,imu_alignable,n_segments,coded_s,span_end_s,n_classes,coded_h,lb_session_on_disk,lb_session_has_imu
25006,9A,BRP1_25006_Obs9A_EDITED.txt,BRP1_25006_REC789_2025-10-20-09-39-15,401.965,True,38,3959.0,3959.0,6,1.0997222222222223,True,True
25007,10A,BRP1_25007_Obs10A_EDITED.txt,BRP1_25007_REC101112_2026-03-25-09-32-54,312.582,True,4,3606.0,3606.0,4,1.0016666666666667,True,True
25007,11A,BRP1_25007_Obs11A_EDITED.txt,BRP1_25007_REC101112_2026-04-01-10-14-16,580.347,True,75,3482.0,3482.0,6,0.9672222222222222,True,True
25007,12A,BRP1_25007_Obs12A_EDITED.txt,BRP1_25007_REC101112_2026-04-08-09-46-44,762.936,True,30,3562.0,3562.0,6,0.9894444444444445,True,True
25007,13A,BRP1_25007_Obs13A_EDITED.txt,BRP1_25007_REC131415_2026-04-14-09-43-40,523.566,True,30,3619.0,3619.0,6,1.0052777777777777,True,True
25007,14A,BRP1_25007_Obs14A_EDITED.txt,BRP1_25007_REC131415_2026-04-22-09-33-09,281.586,True,46,3595.0,3595.0,6,0.9986111111111111,True,True
25007,15A,BRP1_25007_Obs15A_EDITED.txt,BRP1_25007_REC131415_2026-04-27-09-52-00,630.635,True,3,3623.0,3623.0,2,1.006388888888889,True,True
25007,1A,BRP1_25007_Obs1A_EDITED.txt,BRP1_25007_REC123_2026-01-15-09-38-17,594.65,True,3,3688.0,3688.0,3,1.0244444444444445,True,True
25007,2A,BRP1_25007_Obs2A_EDITED.txt,BRP1_25007_REC123_2026-01-21-09-30-56,2618.07,True,18,3594.0,3594.0,4,0.9983333333333333,True,True
25007,3A,BRP1_25007_Obs3A_EDITED.txt,BRP1_25007_REC123_2026-01-28-09-38-28,427.86,True,12,3771.0,3771.0,5,1.0475,True,True
25007,4A,BRP1_25007_Obs4A_EDITED.txt,BRP1_25007_REC456_2026-02-04-09-34-13,250.66,True,47,3599.0,3599.0,5,0.9997222222222222,True,True
25007,5A,BRP1_25007_Obs5A_EDITED.txt,BRP1_25007_REC456_2026-02-11-09-37-19,620.12,True,9,3594.0,3594.0,5,0.9983333333333333,True,True
25007,6A,BRP1_25007_Obs6A_EDITED.txt,BRP1_25007_REC456_2026-02-18-10-13-11,231.95,True,78,3603.0,3603.0,5,1.0008333333333332,True,True
25007,7A,BRP1_25007_Obs7A_EDITED.txt,BRP1_25007_REC789_2026-02-25-09-33-39,370.87,True,17,3608.0,3608.0,5,1.0022222222222221,True,True
25007,8A,BRP1_25007_Obs8A_EDITED.txt,BRP1_25007_REC789_2026-03-04-09-37-57,240.59,True,28,3648.0,3648.0,6,1.0133333333333334,True,True
25007,9A,BRP1_25007_Obs9A_EDITED.txt,BRP1_25007_REC789_2026-03-11-08-51-52,,False,80,3650.0,3650.0,5,1.0138888888888888,True,True
25008,11A,BRP1_25008_Obs11A_EDITED.txt,BRP1_25008_REC101112_2025-12-12-10-02-11,246.1,True,14,3652.0,3652.0,5,1.0144444444444445,True,True
25008,12A,BRP1_25008_Obs12A_EDITED.txt,BRP1_25008_REC101112_2025-12-17-10-23-32,,False,31,3591.0,3591.0,6,0.9975,True,True
25008,13A,BRP1_25008_Obs13A_EDITED.txt,BRP1_25008_REC131415_2026-01-07-09-44-12,629.36,True,13,3617.0,3617.0,5,1.0047222222222223,True,True
25008,14A,BRP1_25008_Obs14A_EDITED.txt,BRP1_25008_REC131415_2026-01-09-09-45-38,217.32,True,33,3661.0,3661.0,6,1.0169444444444444,True,True
25008,15A,BRP1_25008_Obs15A_EDITED.txt,BRP1_25008_REC131415_2026-01-13-09-41-56,367.182,True,21,3613.0,3613.0,6,1.003611111111111,True,True
25008,1A,BRP1_25008_Obs1A_EDITED.txt,BRP1_25008_REC123_2025-10-02-09-36-30,2141.875,True,50,3564.0,3564.0,6,0.99,True,True
25008,2A,BRP1_25008_Obs2A_EDITED.txt,BRP1_25008_REC123_2025-10-09-09-39-05,525.481,True,10,3555.0,3555.0,5,0.9875,True,True
25008,3A,BRP1_25008_Obs3A_EDITED.txt,BRP1_25008_REC123_2025-10-16-09-41-05,298.469,True,13,3601.0,3601.0,5,1.0002777777777778,True,True
25008,4A,BRP1_25008_Obs4A_EDITED.txt,BRP1_25008_REC456_2025-10-29-09-38-24,368.38,True,52,3765.0,3765.0,6,1.0458333333333334,True,True
25008,5A,BRP1_25008_Obs5A_EDITED.txt,BRP1_25008_REC456_2025-11-05-10-38-40,393.05,True,1,346.0,346.0,1,0.0961111111111111,True,True
25008,5B,BRP1_25008_Obs5B_EDITED.txt,BRP1_25008_REC456_2025-11-05-10-38-40,1382.96,True,9,3684.0,3684.0,5,1.0233333333333334,True,True
25008,6A,BRP1_25008_Obs6A_EDITED.txt,BRP1_25008_REC456_2025-11-14-10-40-02,248.92,True,23,3611.0,3611.0,6,1.0030555555555556,True,True
25008,7A,BRP1_25008_Obs7A_EDITED.txt,BRP1_25008_REC789_2025-11-18-09-31-28,239.114,True,19,3598.0,3598.0,5,0.9994444444444445,True,True
25008,8A,BRP1_25008_Obs8A_EDITED.txt,BRP1_25008_REC789_2025-12-03-10-01-58,404.48,True,8,3635.0,3635.0,5,1.0097222222222222,True,True
25008,9A,BRP1_25008_Obs9A_EDITED.txt,BRP1_25008_REC789_2025-12-05-09-35-35,341.21,True,26,3608.0,3608.0,6,1.0022222222222221,True,True
