model,held_out,coded,predicted,n,row_pct
harnet10 (probe),25006,on side,crawl,0,0.0
harnet10 (probe),25006,on side,on back,39,1.875
harnet10 (probe),25006,on side,on side,1878,90.28846153846153
harnet10 (probe),25006,on side,on stomach,132,6.346153846153846
harnet10 (probe),25006,on side,recline back,30,1.4423076923076923
harnet10 (probe),25006,on side,sit,0,0.0
harnet10 (probe),25006,on side,stand,1,0.04807692307692308
harnet10 (probe),25006,on stomach,crawl,0,0.0
harnet10 (probe),25006,on stomach,on back,53,2.68762677484787
harnet10 (probe),25006,on stomach,on side,16,0.8113590263691683
harnet10 (probe),25006,on stomach,on stomach,1870,94.82758620689656
harnet10 (probe),25006,on stomach,recline back,11,0.5578093306288032
harnet10 (probe),25006,on stomach,sit,19,0.9634888438133874
harnet10 (probe),25006,on stomach,stand,3,0.15212981744421905
harnet10 (probe),25006,recline back,crawl,0,0.0
harnet10 (probe),25006,recline back,on back,21,0.9753831862517418
harnet10 (probe),25006,recline back,on side,98,4.551788202508128
harnet10 (probe),25006,recline back,on stomach,8,0.3715745471435207
harnet10 (probe),25006,recline back,recline back,1896,88.06316767301439
harnet10 (probe),25006,recline back,sit,83,3.855085926614027
harnet10 (probe),25006,recline back,stand,47,2.1830004644681837
harnet10 (probe),25006,sit,crawl,0,0.0
harnet10 (probe),25006,sit,on back,34,6.049822064056939
harnet10 (probe),25006,sit,on side,0,0.0
harnet10 (probe),25006,sit,on stomach,14,2.491103202846975
harnet10 (probe),25006,sit,recline back,101,17.97153024911032
harnet10 (probe),25006,sit,sit,242,43.06049822064057
harnet10 (probe),25006,sit,stand,171,30.427046263345197
harnet10 (probe),25006,stand,crawl,0,0.0
harnet10 (probe),25006,stand,on back,2,0.3766478342749529
harnet10 (probe),25006,stand,on side,0,0.0
harnet10 (probe),25006,stand,on stomach,18,3.389830508474576
harnet10 (probe),25006,stand,recline back,14,2.6365348399246704
harnet10 (probe),25006,stand,sit,244,45.951035781544256
harnet10 (probe),25006,stand,stand,253,47.64595103578154
harnet10 (probe),25007,crawl,crawl,0,0.0
harnet10 (probe),25007,crawl,on back,0,0.0
harnet10 (probe),25007,crawl,on side,0,0.0
harnet10 (probe),25007,crawl,on stomach,0,0.0
harnet10 (probe),25007,crawl,recline back,0,0.0
harnet10 (probe),25007,crawl,sit,0,0.0
harnet10 (probe),25007,crawl,stand,0,0.0
harnet10 (probe),25007,on back,crawl,22,0.5333333333333333
harnet10 (probe),25007,on back,on back,3818,92.55757575757576
harnet10 (probe),25007,on back,on side,6,0.14545454545454545
harnet10 (probe),25007,on back,on stomach,50,1.2121212121212122
harnet10 (probe),25007,on back,recline back,114,2.7636363636363637
harnet10 (probe),25007,on back,sit,69,1.6727272727272726
harnet10 (probe),25007,on back,stand,46,1.1151515151515152
harnet10 (probe),25007,on side,crawl,1,0.6211180124223602
harnet10 (probe),25007,on side,on back,69,42.857142857142854
harnet10 (probe),25007,on side,on side,69,42.857142857142854
harnet10 (probe),25007,on side,on stomach,3,1.8633540372670807
harnet10 (probe),25007,on side,recline back,14,8.695652173913043
harnet10 (probe),25007,on side,sit,5,3.1055900621118013
harnet10 (probe),25007,on side,stand,0,0.0
harnet10 (probe),25007,on stomach,crawl,3,0.2707581227436823
harnet10 (probe),25007,on stomach,on back,52,4.693140794223827
harnet10 (probe),25007,on stomach,on side,4,0.36101083032490977
harnet10 (probe),25007,on stomach,on stomach,1005,90.70397111913357
harnet10 (probe),25007,on stomach,recline back,19,1.7148014440433215
harnet10 (probe),25007,on stomach,sit,14,1.263537906137184
harnet10 (probe),25007,on stomach,stand,11,0.9927797833935018
harnet10 (probe),25007,recline back,crawl,20,0.7677543186180422
harnet10 (probe),25007,recline back,on back,446,17.12092130518234
harnet10 (probe),25007,recline back,on side,19,0.72936660268714
harnet10 (probe),25007,recline back,on stomach,100,3.8387715930902107
harnet10 (probe),25007,recline back,recline back,1598,61.34357005758157
harnet10 (probe),25007,recline back,sit,398,15.27831094049904
harnet10 (probe),25007,recline back,stand,24,0.9213051823416507
harnet10 (probe),25007,sit,crawl,63,3.690685413005272
harnet10 (probe),25007,sit,on back,98,5.741066198008202
harnet10 (probe),25007,sit,on side,0,0.0
harnet10 (probe),25007,sit,on stomach,83,4.862331575864089
harnet10 (probe),25007,sit,recline back,196,11.482132396016404
harnet10 (probe),25007,sit,sit,981,57.46924428822495
harnet10 (probe),25007,sit,stand,286,16.75454012888108
harnet10 (probe),25007,stand,crawl,0,0.0
harnet10 (probe),25007,stand,on back,2,3.7037037037037033
harnet10 (probe),25007,stand,on side,0,0.0
harnet10 (probe),25007,stand,on stomach,2,3.7037037037037033
harnet10 (probe),25007,stand,recline back,6,11.11111111111111
harnet10 (probe),25007,stand,sit,22,40.74074074074074
harnet10 (probe),25007,stand,stand,22,40.74074074074074
harnet10 (probe),25008,crawl,crawl,0,0.0
harnet10 (probe),25008,crawl,on back,0,0.0
harnet10 (probe),25008,crawl,on side,0,0.0
harnet10 (probe),25008,crawl,on stomach,0,0.0
harnet10 (probe),25008,crawl,recline back,0,0.0
harnet10 (probe),25008,crawl,sit,0,0.0
harnet10 (probe),25008,crawl,stand,0,0.0
harnet10 (probe),25008,on back,crawl,6,0.23971234518577705
harnet10 (probe),25008,on back,on back,2103,84.01917698761487
harnet10 (probe),25008,on back,on side,26,1.038753495805034
harnet10 (probe),25008,on back,on stomach,28,1.1186576108669597
harnet10 (probe),25008,on back,recline back,177,7.071514182980423
harnet10 (probe),25008,on back,sit,108,4.314822213343987
harnet10 (probe),25008,on back,stand,55,2.1973631642029567
harnet10 (probe),25008,on side,crawl,0,0.0
harnet10 (probe),25008,on side,on back,12,40.0
harnet10 (probe),25008,on side,on side,12,40.0
harnet10 (probe),25008,on side,on stomach,1,3.3333333333333335
harnet10 (probe),25008,on side,recline back,3,10.0
harnet10 (probe),25008,on side,sit,2,6.666666666666667
harnet10 (probe),25008,on side,stand,0,0.0
harnet10 (probe),25008,on stomach,crawl,10,0.33333333333333337
harnet10 (probe),25008,on stomach,on back,50,1.6666666666666667
harnet10 (probe),25008,on stomach,on side,9,0.3
